Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Timestamp,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used
TXN9520068950,ACC14994,ACC16656,495.9,Deposit,1/17/2025 10:14,Failed,TRUE,"34.0522 N, -74.006 W",Desktop
TXN9412011085,ACC58958,ACC32826,529.62,Withdrawal,1/17/2025 10:51,Success,FALSE,"35.6895 N, -118.2437 W",Mobile
TXN4407425052,ACC56321,ACC92481,862.47,Withdrawal,1/17/2025 10:50,Failed,FALSE,"48.8566 N, 2.3522 W",Mobile
TXN2214150284,ACC48650,ACC76457,1129.88,Transfer,1/17/2025 10:56,Success,TRUE,"34.0522 N, -74.006 W",Mobile
TXN4247571145,ACC60921,ACC11419,933.24,Deposit,1/17/2025 10:25,Success,TRUE,"55.7558 N, 37.6173 W",Mobile
TXN2515439857,ACC18381,ACC76710,449.56,Withdrawal,1/17/2025 10:01,Failed,FALSE,"35.6895 N, 139.6917 W",Desktop
TXN2169752734,ACC43792,ACC51105,72.97,Withdrawal,1/17/2025 10:25,Success,TRUE,"55.7558 N, 2.3522 W",Mobile
TXN3109277527,ACC48227,ACC93536,1135.8,Deposit,1/17/2025 10:56,Failed,TRUE,"48.8566 N, -118.2437 W",Mobile
TXN4541918858,ACC10284,ACC24018,1154.59,Withdrawal,1/17/2025 10:38,Success,FALSE,"40.7128 N, -118.2437 W",Mobile
TXN4229370499,ACC11531,ACC53580,683.48,Transfer,1/17/2025 10:55,Success,TRUE,"34.0522 N, 2.3522 W",Mobile
TXN6355066290,ACC14006,ACC27800,485.37,Transfer,1/17/2025 10:50,Failed,TRUE,"34.0522 N, 37.6173 W",Mobile
TXN2166128709,ACC11156,ACC57086,1356.77,Deposit,1/17/2025 10:06,Failed,FALSE,"40.7128 N, 2.3522 W",Desktop
TXN8655304785,ACC62917,ACC77317,385.43,Deposit,1/17/2025 10:58,Success,FALSE,"55.7558 N, -74.006 W",Desktop
TXN5194651812,ACC39081,ACC11992,394.76,Deposit,1/17/2025 10:13,Failed,FALSE,"34.0522 N, -118.2437 W",Desktop
TXN9153984217,ACC34065,ACC67993,620.34,Deposit,1/17/2025 10:37,Failed,FALSE,"55.7558 N, 2.3522 W",Desktop
TXN9743166792,ACC82066,ACC33985,579.65,Transfer,1/17/2025 10:17,Failed,FALSE,"51.5074 N, 0.1278 W",Mobile
TXN6682052855,ACC68764,ACC53807,1171.23,Transfer,1/17/2025 10:29,Success,FALSE,"34.0522 N, -74.006 W",Mobile
TXN4351744832,ACC55704,ACC24911,817.55,Deposit,1/17/2025 10:13,Failed,FALSE,"40.7128 N, 2.3522 W",Mobile
TXN5897093700,ACC70859,ACC83767,113.95,Deposit,1/17/2025 10:25,Success,FALSE,"48.8566 N, -74.006 W",Mobile
TXN5863399870,ACC73740,ACC39244,906.82,Transfer,1/17/2025 10:57,Failed,FALSE,"34.0522 N, 2.3522 W",Mobile
TXN3008400720,ACC96801,ACC67913,402.18,Withdrawal,1/17/2025 10:07,Failed,FALSE,"35.6895 N, 0.1278 W",Mobile
TXN8954205071,ACC49428,ACC33014,154.78,Transfer,1/17/2025 10:41,Success,TRUE,"48.8566 N, 37.6173 W",Mobile
TXN8076969401,ACC81687,ACC75202,762.55,Deposit,1/17/2025 10:34,Success,FALSE,"48.8566 N, 2.3522 W",Desktop
TXN5541586171,ACC72546,ACC73085,1196.23,Withdrawal,1/17/2025 10:48,Failed,FALSE,"48.8566 N, -74.006 W",Mobile
TXN2415439100,ACC92329,ACC71125,1414.14,Transfer,1/17/2025 10:30,Failed,FALSE,"55.7558 N, 37.6173 W",Mobile
TXN4822238918,ACC27604,ACC93416,276.76,Withdrawal,1/17/2025 10:54,Failed,TRUE,"55.7558 N, 2.3522 W",Mobile
TXN3884612815,ACC79800,ACC11375,1453.39,Withdrawal,1/17/2025 10:12,Failed,FALSE,"40.7128 N, -74.006 W",Mobile
TXN5126223597,ACC49116,ACC36754,826.75,Withdrawal,1/17/2025 10:18,Failed,TRUE,"40.7128 N, 2.3522 W",Desktop
TXN7417651729,ACC26106,ACC21043,1371.8,Transfer,1/17/2025 10:09,Failed,TRUE,"35.6895 N, 37.6173 W",Mobile
TXN7538176865,ACC40510,ACC11454,604.25,Transfer,1/17/2025 10:56,Failed,TRUE,"55.7558 N, 37.6173 W",Mobile
TXN3914566506,ACC45926,ACC76590,979.89,Withdrawal,1/17/2025 10:25,Failed,FALSE,"40.7128 N, 2.3522 W",Mobile
TXN6302601632,ACC91042,ACC98945,129.78,Transfer,1/17/2025 10:11,Success,TRUE,"51.5074 N, -118.2437 W",Desktop
TXN2088036535,ACC66635,ACC27770,884.55,Transfer,1/17/2025 10:04,Failed,TRUE,"51.5074 N, 37.6173 W",Mobile
TXN1675844695,ACC32328,ACC14535,250.27,Transfer,1/17/2025 10:58,Failed,FALSE,"40.7128 N, 37.6173 W",Mobile
TXN6661143500,ACC94124,ACC34396,1227.89,Transfer,1/17/2025 10:29,Success,FALSE,"34.0522 N, 2.3522 W",Desktop
TXN3325189406,ACC51150,ACC42784,743.4,Transfer,1/17/2025 10:37,Failed,FALSE,"51.5074 N, -74.006 W",Desktop
TXN6805586313,ACC13179,ACC18973,852.42,Withdrawal,1/17/2025 10:41,Failed,FALSE,"34.0522 N, 2.3522 W",Mobile
TXN2113838138,ACC59845,ACC47976,92.6,Withdrawal,1/17/2025 10:49,Success,FALSE,"55.7558 N, 37.6173 W",Desktop
TXN2956253396,ACC98407,ACC76557,499.18,Withdrawal,1/17/2025 10:31,Success,TRUE,"55.7558 N, -74.006 W",Mobile
TXN9549826715,ACC39544,ACC52922,910.24,Withdrawal,1/17/2025 10:11,Success,FALSE,"35.6895 N, 139.6917 W",Mobile
TXN7131992962,ACC25089,ACC78786,992.8,Withdrawal,1/17/2025 10:43,Failed,TRUE,"34.0522 N, 139.6917 W",Desktop
TXN2209185137,ACC97614,ACC48951,793.95,Deposit,1/17/2025 10:55,Success,FALSE,"48.8566 N, 2.3522 W",Mobile
TXN2465139688,ACC21498,ACC64106,1483.75,Transfer,1/17/2025 10:03,Success,FALSE,"55.7558 N, 0.1278 W",Desktop
TXN4231576514,ACC33069,ACC45185,944.51,Withdrawal,1/17/2025 10:53,Failed,TRUE,"34.0522 N, 0.1278 W",Desktop
TXN6050985831,ACC90300,ACC78072,1093.14,Withdrawal,1/17/2025 10:05,Failed,FALSE,"35.6895 N, -118.2437 W",Desktop
TXN6614511449,ACC14564,ACC10609,326.66,Withdrawal,1/17/2025 10:41,Success,TRUE,"34.0522 N, -74.006 W",Mobile
TXN1408798870,ACC88133,ACC15217,819.69,Transfer,1/17/2025 10:37,Failed,FALSE,"48.8566 N, 2.3522 W",Mobile
TXN2483635578,ACC33701,ACC13238,436.83,Withdrawal,1/17/2025 10:36,Failed,FALSE,"35.6895 N, 37.6173 W",Mobile
TXN4437479248,ACC45830,ACC66726,480.29,Withdrawal,1/17/2025 10:32,Failed,TRUE,"51.5074 N, -118.2437 W",Mobile
TXN1414294833,ACC24121,ACC36934,681.23,Deposit,1/17/2025 10:03,Success,FALSE,"48.8566 N, -74.006 W",Desktop
TXN3244921303,ACC69633,ACC88988,434.31,Withdrawal,1/17/2025 10:56,Failed,TRUE,"51.5074 N, -74.006 W",Mobile
TXN4585920895,ACC47679,ACC51725,196.41,Deposit,1/17/2025 10:04,Failed,FALSE,"34.0522 N, -74.006 W",Desktop
TXN3085164852,ACC74608,ACC33619,144.1,Transfer,1/17/2025 10:49,Failed,FALSE,"35.6895 N, -74.006 W",Desktop
TXN4215761542,ACC49303,ACC99378,313.72,Deposit,1/17/2025 10:32,Failed,TRUE,"48.8566 N, 139.6917 W",Desktop
TXN2921000330,ACC74920,ACC58633,209.97,Withdrawal,1/17/2025 10:33,Success,FALSE,"55.7558 N, 0.1278 W",Mobile
TXN1245169622,ACC91787,ACC54608,879.63,Withdrawal,1/17/2025 10:14,Success,TRUE,"34.0522 N, 2.3522 W",Desktop
TXN3864456208,ACC52721,ACC22595,906.98,Withdrawal,1/17/2025 10:58,Failed,TRUE,"35.6895 N, 0.1278 W",Mobile
TXN2157994961,ACC60872,ACC56165,1017.3,Deposit,1/17/2025 10:52,Failed,TRUE,"35.6895 N, 139.6917 W",Mobile
TXN3293165874,ACC43244,ACC67743,972.39,Withdrawal,1/17/2025 10:44,Success,TRUE,"34.0522 N, -118.2437 W",Desktop
TXN2467998038,ACC92520,ACC54323,1436.77,Withdrawal,1/17/2025 11:00,Failed,FALSE,"48.8566 N, -118.2437 W",Mobile
TXN4014434434,ACC50922,ACC98669,1094.34,Transfer,1/17/2025 10:55,Failed,FALSE,"51.5074 N, -118.2437 W",Mobile
TXN5548725719,ACC49858,ACC26440,1235.27,Deposit,1/17/2025 10:31,Success,FALSE,"48.8566 N, 2.3522 W",Mobile
TXN8905996384,ACC15856,ACC12045,737.12,Deposit,1/17/2025 10:46,Success,FALSE,"55.7558 N, -74.006 W",Desktop
TXN6478721697,ACC74483,ACC16913,524.38,Deposit,1/17/2025 10:38,Success,TRUE,"35.6895 N, -74.006 W",Mobile
TXN4336351484,ACC80523,ACC75671,940.3,Deposit,1/17/2025 10:55,Success,TRUE,"35.6895 N, 2.3522 W",Mobile
TXN5262577229,ACC23680,ACC21510,339.18,Deposit,1/17/2025 10:19,Failed,FALSE,"55.7558 N, 2.3522 W",Desktop
TXN9214993999,ACC59081,ACC63217,713.85,Withdrawal,1/17/2025 10:38,Success,TRUE,"48.8566 N, 37.6173 W",Desktop
TXN6819290771,ACC89817,ACC51611,1069.09,Withdrawal,1/17/2025 10:24,Failed,TRUE,"48.8566 N, 139.6917 W",Mobile
TXN6762754838,ACC88574,ACC43420,311.12,Withdrawal,1/17/2025 10:32,Success,FALSE,"55.7558 N, 37.6173 W",Desktop
TXN6621010350,ACC62557,ACC33681,1393.36,Transfer,1/17/2025 10:10,Success,FALSE,"48.8566 N, 0.1278 W",Desktop
TXN2716831379,ACC36992,ACC58355,412.43,Transfer,1/17/2025 10:18,Success,FALSE,"55.7558 N, 2.3522 W",Mobile
TXN4412754237,ACC52000,ACC38394,1246.4,Transfer,1/17/2025 10:55,Success,FALSE,"34.0522 N, 139.6917 W",Desktop
TXN9958195472,ACC73496,ACC80439,713.43,Withdrawal,1/17/2025 10:48,Failed,TRUE,"51.5074 N, 0.1278 W",Desktop
TXN6513452870,ACC66844,ACC30757,497.06,Deposit,1/17/2025 10:25,Failed,TRUE,"40.7128 N, -118.2437 W",Desktop
